Title,Description,Type
Handling Disability Management Cases (P026),"It is essential for managers and specialists who handle disability management cases to understand the various aspects of disability management in the federal public service. This course covers the various measures that managers and employees need to take to ensure sound management of disability cases.  Participants will learn to obtain the information they need to take the necessary steps to enable the employee to remain in their position or facilitate their return to work.
Topics include:

    disability management system
    guiding principles of a successful disability management program
    workplace health and well-being
    workplace accommodation
    prevention and support for recovery ",Classroom
Leading Strategically (P113),"Course P113 � Leading Strategically was designed to allow directors and senior managers to reflect on and discuss their roles in workplace renewal. It provides a strategic leadership model (strategic thinking, acting and influencing) and planning process (core ideology, vision, analysis, strategic priorities, action plan and implementation) that can be incorporated into any workplace change initiative.

Participants will benefit from a blended learning approach that supports the development of key leadership competencies. They will be asked to complete two hours of mandatory pre-course assignments before joining the classroom.

NOTE
The School has been approved as an Accredited Provider of Professionalism Content by the Law Society of Ontario. As such, the course contains two hours and 45 minutes of Professionalism content and one hour of Equality Diversity and Inclusion (EDI) Professionalism content.",Classroom
Labour Relations for Non-Specialist Human Resources Advisors (P220),"Human resources (HR) advisors who will not work as specialists in labour relations may still need an overview about this discipline. This course provides knowledge on laws, regulations, policies, collective agreements, the principles and practices that labour relations specialists apply every day. Through various exercises, activities and scenarios, participants will learn to work effectively with managers in order to acquire a deeper understanding of the field of labour relations (P220). Topics include: -Understand the framework of the working relationships and of matter in general. - Become better equipped to know when to involve labour relations; - Know when to inform labour relations of a situation requiring their attention ",Classroom
Introduction to Official Languages (P311),"French and English are the official languages of Canada and they have equal status, rights and privileges as to their use in Parliament and Government of Canada institutions. This course provides an overview of the Official Languages Act and its legislative framework. Participants will gain an understanding of their rights and responsibilities by reviewing the best practices used in the public service.

Topics Include:
Official Languages Act and its legislative framework
rights and responsibilities of public servants
role and responsibilities of organizations and stakeholders",Online
Official Languages Series (P312),Individuals responsible for the official languages program in each institution must ensure compliance with the Official Languages Act and provide advice and guidance on this topic to managers and employees in their organization. This course examines the various functions of official languages programs. Participants will review best practices in the fields and learn to apply them.,Online
Human Resources Planning (P702),"A human resources (HR) advisor must be able to analyze HR management and planning issues against the backdrop of operational goals and challenges. This course explores the fundamentals of HR planning, setting priorities, initiating strategies and taking action from an HR perspective in the federal public service. Participants will have the opportunity to use tools that have been developed to provide informed advice and services to managers within their organization.
Topics include: 

    determining business goals 
    setting priorities and taking action 
    assessing the gaps in the workforce-what is missing, from an HR perspective, in order to achieve goals 
    initiating strategies to close the gap and help get the resources needed 
    analyzing the environment to meet current and future needs",Classroom
Labour Relations for Human Resources Advisors (P703),"Human resources (HR) advisors are expected to have solid labour relations skills in order to build support within teams. This course explores management rights, limitations to the collective bargaining process, interpreting collective agreements, strikes, mediation, grievances and termination of employment mechanisms in the context of the Public Service Modernization Act (PSMA). 

Participants will learn to work with management and bargaining agent representatives on major activities related to employer-employee and employer-union relations. [P703]

Topics include:
- legislative framework for labour relations
- roles and responsibilities of bargaining agents
- disciplinary measures, grievances and strikes
- collective agreements and the bargaining process
 - terms and conditions of employment",Classroom
The Strategic Human Resources Practitioner (P731),"Human resources practitioners support clients and managers in planning and making decisions by providing strategic advice. This course aims to deepen the practitioner�s understanding of the impact of strategic advice on human resources. Participants will learn to apply tools and techniques in support of a strategic perspective in the field of human resources management.

Topics include:

 

    The behaviours and strategic role of the HR advisor
    The strategic perspective
    Scope and impact 
    Options for risk management
    Advice and follow-up with clients and managers",Classroom
Employment Equity under the Employment Equity Act (P745),"This course provides clear information on the application and legal obligations governing employment equity in the federal public service under the Employment Equity Act (EEA). It also presents the links between employment equity and other human resources disciplines, and addresses the duty to accommodate in the workplace.

This course is intended for advisors responsible for employment equity, human resources professionals, managers and all public service employees who are interested in employment equity.

Topics Include:
Overview of employment equity in the public service
Legal context
Roles and responsibilities
Key players
Duty to accommodate",Online
Staffing for Staffing Specialists - Part 1 (P801),"The Public Service Employment Act (PSEA) is designed to facilitate recruitment by offering flexibility to departments and agencies while respecting fairness, transparency, accessibility and representativeness. This course (part I of II) provides staffing specialists with an opportunity to acquire the knowledge and skills associated with legislative, administrative and values-based decision-making frameworks. Participants will learn how to provide sound advice on human resources (HR) issues related to staffing. 

Topics include:

    staffing context
    legal aspects of staffing
    appointment framework",Classroom
Staffing for Staffing Specialists - Part 2 (P802),"The Public Service Employment Act (PSEA) is designed to facilitate recruitment by offering flexibility to departments and agencies while respecting fairness, transparency, accessibility and representativeness. This course (part 2 of 2) provides staffing specialists with an opportunity to further develop their knowledge and skills associated with the legislative, administrative and values-based decision-making frameworks. Participants will learn how to advise and assist managers on merit criteria, assessment techniques and the evaluation of candidate qualifications. Once you have completed the P801, you will be able to self-register for the P802.",Classroom
Staffing for Staffing Assistants (P803),"The Public Service Employment Act (PSEA) is designed to facilitate recruitment by offering flexibility to departments and agencies while respecting fairness, transparency, accessibility and representativeness. This course develops the knowledge and skills needed to ensure compliance with the legislative and administrative requirements governing the staffing process. Participants will gain a solid understanding of the staffing function and will learn how they can help to further facilitate the staffing process.

Topics include:  

    understanding of the staffing function
    support services to staffing specialists and managers
    which staffing processes best respond to the needs of management",Classroom
Staffing: A Resourcing Tool for Managers (P901),"The Public Service Employment Act (PSEA) is designed to facilitate recruitment by offering flexibility to departments and agencies while respecting fairness, transparency, accessibility and representativeness. This course provides the knowledge and skills necessary to manage the staffing process in the context of human resources (HR) responsibilities under the PSEA. Participants will acquire a common understanding of the importance of using staffing as a management tool to meet current and future HR needs. ",Classroom
Organizational Design and Classification: Tools & Methods - Part 1A (P911),"Classification advisors are often called upon to provide organization and classification (OC) advice. This course (part 1A) provides an overview of the OC rules and the roles and responsibilities of the key stakeholders. Participants will have the opportunity to write, critique and evaluate work descriptions from various occupational groups.

Topics include
how to evaluate positions and work descriptions
writing work descriptions
chairing classification evaluation committees
OC rules and roles of stakeholders",Classroom
Organizational Design and Classification: Tools & Methods - Part 1B (P912),"Classification advisors are often called upon to provide advice in organization and classification (OC). This course (part 1B) examines on-site interviews, relativity studies and the writing of rationales and grievances for OC programs. Participants will develop the necessary competencies to participate in the implementation of an OC program.

Topics include
on-site interviews
relativity studies
writing rationales
grievances related to classification",Classroom
Organizational Design and Classification: Tools and Methods - Part 2 (P916),"Classification advisors are often called upon to provide organization and classification (OC) advice. This course (part 2) examines classification grievances and organizational design for OC programs. Using a case study approach, participants will perfect the necessary competencies to participate in the implementation of an OC program.

Topics include
roles and responsibilities, policies, and procedures for handling classification grievances
potential impacts of grievance committee decisions
steps of the planning and development phases
organizational design implementation phase",Classroom
Introduction to Organization and Classification (P930),"This course offers learners a better understanding of the impact of classification decisions and changes to organizational structure and job descriptions, as well as the scope of classification action requests. Participants will explore basic concepts related to each of these topics. They will also become familiar with the roles and responsibilities of the main people involved.
Furthermore, all new managers and executives with classification related responsibilities have to complete the P930 course within the first 6 months of assuming their new duties in accordance with the Directive on Required Training.",Online
Introduction to Regulating (R001),"Regulators are responsible for understanding the federal regulating process and the policies and guidance set out by the Cabinet Directive on Regulation. This introductory course provides an overview of the different aspects of the regulation process, including the triage process and the requirements for the development, implementation, review and assessment of results. Participants will gain a basic understanding of the federal regulatory process and the stages of the life-cycle approach to regulating within a Government of Canada context.

Topics include:
the tools and requirements of the Cabinet Directive on Regulation
applying the Cabinet Directive on Regulation
the regulation-making process and the regulatory life cycle
the importance of working with stakeholders
roles, responsibilities and accountabilities within a regulatory context",Classroom
Your Liability as a Regulator (Duty of Care) (R002),Duty of care is a legal concept central to understanding liability in public health and safety. This course introduces best practices for regulators and provides tools to minimize the risk of liability on the job and reduce any personal concerns to this effect. Participants will learn how potential negligence issues relate to their role as a regulator.,Classroom
Cost-Benefit Analysis for Federal Regulators (R004),"The cost-benefit analysis (CBA) is an essential tool for public servants develop regulatory proposals. This course identifies the fundamental principles and managerial essentials of completing a CBA for federal regulatory initiatives. Participants will gain a better understanding of the planning and management of a CBA within the regulatory process, including the triage and reporting requirements.",Classroom
Developing Effective Regulatory Impact Analysis Statement (R005),"The Government of Canada is committed to protecting the public interest by working to ensure that its regulatory activities result in the greatest overall benefit to Canadians. This course explains the role and key requirements of Regulatory Impact Analysis Statements (RIAS) in federal regulatory initiatives. Participants will learn to plan and develop effective RIAS in accordance with the requirements of the Cabinet Directive on Regulatory Management, its related frameworks and the stages of the life cycle approach to regulating.",Classroom
Introduction to Project Management (R200),"Project management is a critical addition to the skillset of every leader, regardless of their level. This course provides learners with general knowledge of project management and how it can be used to coordinate and carry out all of the activities required to complete a project. It is intended for all public servants, particularly those who have little or no knowledge of project management.    ",Online
Project Management Methods and Processes (R210),"Understanding the fundamentals of project-management methodologies and processes is vital to the success of a project. Designed for all public servants who have a basic understanding of project management, this course will examine effective strategies and best practices. Participants will also learn the three methodologies and frameworks most commonly applied to project management within the Government of Canada: the Project Management Institute's Project Management Body of Knowledge (PMBOK) Guide, Projects in Controlled Environments (PRINCE2) and Information Technology Infrastructure Library (ITIL).",Online
"Project Management: Policy, Roles and Responsibilities (R220)","As a project leader, it is essential to have a proficient understanding of the Government of Canada policies and guidelines for project management.

This course introduces the components of the Policy on the Management of Projects, two assessment tools related to the Policy, and the roles and responsibilities associated with project management.

Participants will also gain both the knowledge and skills needed to help establish project management as a core competency.

Topics Include
Key concepts of the Policy on the Management of Projects
Project management roles and responsibilities
Key assessment tools that support the Policy on the Management of Projects",Online
Evaluating Federal Programs and Initiatives: Introduction (R711),"As per the Treasury Board's Policy on Evaluation, all direct program spending must be evaluated every five years. This course provides an overview of the evaluation requirements and processes and explains how evaluations provide important support to the resource allocation process in the Government of Canada. Participants will learn how evaluations relate to the Policy on Management, Resources and Results Structure and the Policy on Transfer Payments and get a better sense of the impacts of evaluations and their processes on decision making and the delivery and management of federal programs and initiatives.",Classroom
Fundamentals of Service Excellence (S001),"This 2-day classroom course is intended for public service employees who provide services to citizens, internal clients or colleagues. By exploring how the government identifies the service expectations of Canadians, participants will learn to deliver inclusive service using a variety of communication skills and techniques. Participants will also gain skills to cope with difficult situations, applying effective resolution strategies and techniques in practical exercises.",Classroom
Technology Savviness for Executives (S100),"With integrated global technologies becoming increasingly influential in the public service of Canada, executives must learn to use this infrastructure as a strategic asset. Through concrete examples, this course will allow non-IT executives to gain unique insight into the current information technology landscape and Government of Canada frameworks that support management and the governance of IT. Participants will leave this learning opportunity with a better understanding of the governance and business practices that help business and IT collaboration. (S100)

Topics Include
Challenges of business and IT collaboration
Technology in the service of Canadians
IT landscape in the Government of Canada
""Enablement"" and digital transformation
Roles of executives in various disciplines",Classroom
Business Continuity Management (S200),"This course provides participants with a series of practical activities and exercises to support federal institutions in developing, implementing, and maintaining a business continuity management (BCM) program. Through presentations, discussions, and activities, participants will learn about the business impact analysis (BIA) process, and how to develop business continuity plans (BCPs). Participants will also take part in an exercise to apply the 6 mandatory procedures for BCM control.

Topics covered:
overview of the 6 mandatory procedures for BCM control
the relationship between emergency management and BCM
how to complete a BIA
how to complete a BCP
tools and resources available to the BCM community",Classroom
Security Functional Specialist Orientation Kit (S201),"In a non-linear format, this orientation kit provides essential information on how to navigate the Government of Canada security environment. It builds awareness of key concepts through documentation, links and job aids, giving participants a better understanding of their roles and responsibilities. 

With this tool, participants will become familiar with Government of Canada security requirements, the complexities of security, and the resources that are available to provide additional information. 

Topics Include:
- Legislation, policies, directives, mandatory procedures and standards 
- General security controls
- The security practitioner mindset 
- Security as a government sub-system",Online
Security Screening (S202),"This practical course for functional security specialists covers the basic tasks related to security screening requests and evaluation of a person's reliability and their loyalty to Canada.

Participants will learn the various steps of the screening process and the requirements of reliability status and security clearances by working through one or more of the three case studies inspired by real-life scenarios. While completing the case studies, participants will gain experience using the tools needed to analyze screening requests.

Topics include
Reliability status
Security clearances (Secret and Top Secret)
Steps in the screening process and related tools",Online
Interviewing in the context of security screening (S203),"The security screening process seeks to obtain missing information or clarifications for an application. This course uses a practical approach, allowing participants to gain effective techniques to conduct security screening interviews. Participants will develop the necessary skills and expertise to properly plan and conduct interviews.

Topics Include:
reasons for conducting interviews
invitation letter
preparing and conducting an interview
interview techniques and questions
final assessment report",Classroom
�Fundamentals of Physical Security (S204),"Security functional specialists must have the tools necessary to protect Government of Canada property. This online course allows these specialists to apply the basic knowledge needed to design physical security programs and to think critically about existing programs.

Topics Include
Threat and risk assessment
Physical security-basic concepts and design principles
Monitoring and corrective action",Online
Applying the Fundamentals of Physical Security (S205),"Based on the course Fundamentals of Physical Security (S204), this course is specifically about the application of basic physical security concepts such as zoning, access control, and concentric rings of protection. Through a series of case studies, participants in the course Applying the Fundamentals of Physical Security (S205) will learn basic skills such as:

interpreting baseline requirements in the design of a building
assessing the needs and the vulnerabilities of existing access controls
applying baseline requirements to better manage access
Topics Include
zoning
access control
concentric protection rings
protection, detection, response, recovery (PDRR) principle",Classroom
Leadership in Service Excellence (T232),"Governments around the world are embracing the need for transformational change to improve their ability to meet increasing citizen expectations for greater accessibility, wider choices and higher quality services. This one-day workshop provides executives with a forum to share best practices, challenges and tools in service excellence. Participants will reflect on their role and discuss how to lead a culture of service excellence within the public service.",Classroom
Introduction to Citizen and Client Centred Service (T233),"This online introductory course provides participants with a better understanding of the needs and expectations of citizens and clients, enabling them to take into account their perspectives in all aspects of service design and delivery. Participants will learn Government of Canada�s service delivery principles, the key concepts of citizen- and client-centered service and the five drivers of client satisfaction.
",Online
Fundamentals of Process Management (T400),"Every employee can benefit from a basic understanding of business process management. This online self-paced course features a series of short videos illustrating aspects of business process management. A number of accompanying exercises, questions for reflection and job aids will further develop basic knowledge and skills in this critical aspect of government functioning.",Online
Risk Management Basics (T404),This online introductory course is aimed at all employees who want to learn about and understand risk management.  It provides a quick overview of the basic principles of risk management and the role of public service employees.,Online
Public Consultations and Citizen Engagement (T418),"The Government of Canada is increasingly seeking out citizen input and stakeholder participation to enhance the decision-making and policy development processes. This course helps to facilitate the policy development and public consultation processes by examining how to better understand stakeholder issues. Participants will learn the essential elements of public consultation and citizen engagement.

Topics include
Essential elements of consultation and engagement
Designing the process
Managing the process
Troubleshooting
Evaluating the results",Classroom
Understanding and Applying Strategic Communications (T712),"Deputy heads value it, communications managers are looking for it and effective government communications depend on it. This course explores the nature of strategic communications through discussion, information sharing, exercises and a case study to develop practical approaches to delivering strategic communications value in the workplace. Participants will learn established strategic approaches to the development and delivery of communications services.",Classroom
Web Accessibility for Canada.ca (T716) ,"The Government of Canada is committed to ensuring the accessibility of its websites. This course outlines federal standards and guidelines on web accessibility and emphasizes the requirements, roles and responsibilities involved in compliance with this standard. Participants will learn how to assess and apply Web Content Accessibility Guidelines (WCAG) 2.1 consistently across Canada.ca web pages.

Topics include
Accessibility and testing tools
Creating well-structured pages
Designing accessible forms
Designing audiovisual content for web pages",Classroom
Introduction to Public Policy Development (T718),"It is important to understand how public policy is developed within the framework of the Government of Canada. This introductory course provides the tools and reference materials needed to stay up to date on government policies and encourages participants to share their knowledge of the policy development field. Participants will be introduced to the issues and constraints of public policy development through practical exercises based on current affairs. [T718]

Topics include
Strategic framework for policy development
Factors affecting the policy development process
Dynamics of change
Communication techniques
Consultations",Classroom
How Public Policy Implementation Works (T719),"Once a new federal public policy has been adopted, the implementation process starts. This introductory course outlines the processes that lead to the implementation of public policies within the federal public service, including the establishment of programs and services. Participants will learn about the different steps of implementation, from program design and delivery to monitoring and evaluation. [T719]

Topics include
Program design
Implementation
Delivery
Monitoring and reporting
Evaluation",Classroom
Internal Policy Development (T724),"Employees working in common and administrative services are often required to develop policies, guidelines and other instruments in response to specific departmental needs. This course provides a framework for developing internal instruments with a specific focus on administrative policies. Participants will learn about the key factors that support and influence the internal policy development process and will be given the opportunity to put their newly acquired knowledge into practice through networking opportunities. [T724]

Topics include
Internal policy context and triggers
Policy development cycle, process and monitoring
When and where internal policies are needed
Main areas of focus for the internal policy development process",Classroom
Gender-based Analysis Plus (GBA+): Applying Your Knowledge (T731),"Together, Gender-based Analysis Plus (GBA+) and the Gender Results Framework provide a strong foundation for identifying and removing barriers to gender equality in public policies, programs, services and other government initiatives.

In this workshop, participants will have the opportunity to practice applying GBA+ in interactive group exercises and by using the ""Demystifying GBA+"" job aid (This link will open in a new window.) (Woman and Gender Equality).

This session was designed for public servants who have successfully completed Introduction to GBA+ (This link will open in a new window.) (Woman and Gender Equality) and would like to learn how to start applying GBA+ to public policies, programs, or services.

Topics include
Intersectionality
Basic steps and criteria for GBA+
GBA+ data and evidence",Classroom
Positive Space: Ambassador Training (W024),"A modern public service requires diversity and inclusion. While much progress has been made, the LGBTQ2+ community still faces challenges with heterosexism, genderism, transphobia and homophobia.

This training is for individuals interested in learning about issues related to the Positive Space initiative, or in becoming a workplace Positive Space ambassador. All employees need to feel comfortable at work to be creative and innovative. Marginalization based on sexual orientation and gender identity can cause many LGBTQ2+ people to remain �closeted� and to censor themselves.

Topics Include
What positive space is, and why it is important
Global and Canadian context for gender and sexual diversity
The paradigm of gender and sex
Gender and sexual diversity terminology",Classroom
Financial Literacy for Directors of Crown Corporations (Z116),"Members of boards of directors of Crown corporations who have limited financial knowledge must strengthen their understanding of their financial responsibilities within the federal government context. This course explores the fundamentals of how to interpret financial statements, balance sheets and other financial reports of Crown corporations, a skill required for membership on a Crown corporation's audit committee. Participants will learn about the budget planning process, applying audit rules and implementing an audit plan.

Topics Include:
Budget planning and strategy development
Values and ethics
The independence of the board and minister
The establishment and role of an audit committee
Audit rules and audit plan implementation",Online
How Washington Really Works for Senior Executives (Z131),"This course, presented in collaboration with the Canadian Embassy in Washington D.C., offers a deeper understanding of the inner workings of the United States government. A highly qualified team of foreign policy advisors, government and think-tank representatives, lobbyists, former congressmen and legal experts, drawn from both sides of the border, will share experiences and insights. This course is designed for senior executives who are responsible for providing advice to deputy ministers and ministers on complex and sensitive matters in Canada-US relations.

Topics Include:
historical context and inner workings of the US political, legal and regulatory systems
lobbying in Washington D.C.
public opinion research - policy trends and perceptions
perspectives from leading think tanks
role of the Canadian Embassy in Washington D.C.",Classroom
Effective Two-Minute Briefings (Z132),"Everybody's time is limited, but few face more of a time crunch than deputy heads and ministers. This highly interactive course introduces the strategies and tools needed to effectively communicate the essence of an issue at hand in two minutes or less while ensuring that what is said is thorough and well-constructed. Participants will learn how to brief their deputy heads and ministers by confidently and succinctly delivering their main messages with maximum effectiveness.

Topics include
Communication strategies
Tools to improve oral dialogue
Delivering briefings and updates",Classroom
Orientation For Crown Corporation Directors (Z156),"It is essential for board members of Crown corporations to understand the basics of their role and responsibilities as well as the Government of Canada's expectations. This course introduces directors of Crown corporations to the machinery of the federal government, including the roles and responsibilities of various departments, ministers and Parliament. Participants will review key legislation impacting Crown corporations, the governance structure of Crown corporations and the financial responsibilities of directors.

Topics Include:
The machinery of government
Roles and responsibilities of Parliament, ministers and departments
Key legislation impacting Crown corporations and their operating environment
Governance structure of Crown corporations
Financial oversight responsibilities",Classroom
Cours provenant d'une autre minist�re / Other Government Department courses,,
Introduction to Gender-based Analysis Plus (GBA+) (B001),"Gender-based Analysis Plus (GBA+) is an analytical tool used to assess how diverse groups of women, men and gender-diverse people may experience policies, programs and initiatives. The ""plus"" in GBA+ acknowledges that GBA+ goes beyond biological (sex) and socio-cultural (gender) differences. We all have multiple identity factors that intersect to make us who we are; GBA+ also considers many other identity factors, like race, ethnicity, religion, age, and mental or physical disability. 
Once you have completed this course, you will be able to: 
.Define the key concepts of GBA+ 
.Recognize how various identity factors can influence the experience of federal government initiatives 
.Identify how GBA+ can enhance the responsiveness, effectiveness and outcomes of federal government initiatives 
.Apply some foundational GBA+ concepts and processes 
",Online
Phoenix Self Service for Employees (C601),"Phoenix is the Government of Canada's pay and benefits application. This course provides an overview of the Phoenix self-service functions available to employees. Learners are shown how to use these functions to quickly and efficiently perform a variety of common tasks.[C601]

Topics include:

Managing direct deposit information, voluntary deductions and coverage under the Public Service Health Care Plan
Updating employee to manager relationships
Reporting time
Viewing payroll statements",Online
Phoenix Manager Self Service (C602),"Phoenix is the Government of Canada's pay and benefits application. This course provides an overview of the self-service functions that Phoenix offers for managers with signing authority under Section 34 of the Financial Administration Act. Learners are shown how to use these functions to quickly and efficiently perform a variety of common tasks.[C602]

Topics include:
�Reviewing, assigning and creating work schedules
�Reporting time
�Reviewing and resolving time entry exceptions
�Approving payable time
�Understanding the Phoenix worklist",Online
Phoenix Navigation Overview (C603),"Phoenix is the Government of Canada's pay and benefits application. This course provides new users with an overview of basic Phoenix navigation principles. Participants will learn about various features that will help them use the application efficiently. [C603]

<strong>Topics include:</strong>
<ul>
<li>Logging in and out of Phoenix</li>
<li>Using toolbar items and menus</li>
<li>Adding favourites</li>
<li>Personalizing the home page</li></ul>",Online
Phoenix Overview for Compensation Advisors (C604),"Phoenix is the Government of Canada's pay and benefits application. This course lays the groundwork for Phoenix compensation advisor training by explaining how the environment integrates human resources and compensation data to produce payroll results. In addition to providing an overview of Phoenix from a compensation perspective, this course also explains payroll operations to provide an appreciation of the timing and impact of payroll updates. [C604]

<strong>Topics include:</strong>
�Phoenix environment technology components and features
�Roles and responsibilities
�Compensation activities
�Required compensation inputs and triggers
�Compensation-related Phoenix inputs and outputs",Online
Introduction to IT Security Management (I217),"This online course, designed and built by the Cyber Centre Learning Hub at the Canadian Centre for Cyber Security, offers security practitioners an opportunity to acquire basic understanding of information technology (IT) security management. The course provides an overview of typical Government of Canada IT security program activities and introduces learners to the legal, policy, and business contexts for IT security, as well as the threat environment. By gaining an appreciation for the IT security context and program activities, learners will be better able to support IT security in the Government of Canada.

Topics include
� IT security context
� IT security program activities
",Online
IT Security Fundamentals for IT Practitioners (I218),"This online course, designed and built by the Cyber Centre Learning Hub at the Canadian Centre for Cyber Security, provides an overview of information technology security policies, processes and procedures relevant to the role of IT practitioners in the public service of Canada. It equips participants with information and resources that support common IT security tasks. Participants will gain a foundational understanding of IT security that can be adapted to organizational contexts across the public service.

Topics include
� Security responsibilities of IT practitioners
� Planning, implementation and maintenance of departmental IT security
",Online
Cyber Security in the GC for non-IT Employees (I225),"This introductory course, designed and built by the Cyber Centre Learning Hub at the Canadian Centre for Cyber Security, is aimed at personnel who may support cyber and IT security within their organization, but are not themselves Cyber or IT security specialists. It will introduce GC policies, basic cyber security terms, concepts and processes through an interactive mix of lectures, discussions, examples and group activities. This course can also be readily tailored for groups upon request to fit specific professional, business or departmental contexts.",Online
Cyber Security in the GC for Home and Telework (I226),"� la fin de cet atelier, con�u et cr�� par le Carrefour de l'apprentissage du Centre canadien pour la cybers�curit�, l'�tudiant sera en mesure d'appliquer le Top Dix du Centre de la s�curit� des t�l�communications (CST) pour le r�seau � la maison et les appareils mobiles sans fil ainsi que la mise en ouvre de contre-mesures qui vont r�duire le risque de compromission en ligne. L'atelier va se concentrer sur les concepts de base en cybers�curit� et sur les essentiels du r�seau � la maison. Des param�tres du syst�me afin de r�duire l'exposition en ligne et la mise en ouvre de technologies d�fensives y seront aussi discut�s ainsi que des besoins li�s � votre entreprise, comment aligner la s�curit� pour ces besoins et aussi quoi faire en cas d'incident.B195:J195",Classroom
Cyber Security in the GC and Online Exposure (I227),"This in-class workshop, designed and built by the Cyber Centre Learning Hub at the Canadian Centre for Cyber Security, is aimed at GC employees at all levels who wish to become more familiar with the cyber security landscape and become knowledgeable on how to protect classified and sensitive information on GC networks. By the end of this session, the learner will be able to understand the threat to privacy from online exposure and assess the digital footprint of their activities. ",Classroom
Fundamentals of Modern Treaty and Self-Government Agreement Implementation (K108),"Modern treaties and self-government agreements are key tools for achieving reconciliation between the Government of Canada and Indigenous Peoples. These agreements establish renewed nation-to-nation, Inuit-Crown, government-to-government relationships based on respect, cooperation, partnership, and the recognition of rights. 

This course gives federal employees an overview of the historical, legal, and policy context of modern treaties and self-government agreements and an opportunity to identify the implications of these agreements for their day-to-day work. (K108)

Topics include:
� Historical, legal, and policy context of modern treaties and self-government agreements
� Indigenous perspective on modern treaty implementation
� Roles and responsibilities of federal officials
� Cabinet Directive on the Federal Approach to Modern Treaty Implementation",Classroom
Modern Treaty and Self-Government Agreement Implementation for Policy and Program Officers (K208),"All federal organizations have a responsibility to design and deliver policies and programs that comply with the rights and provisions of modern treaties and self-government agreements. This course provides more detailed information about how the federal government implements these agreements.

Participants will learn how to conduct an Assessment of Modern Treaty Implications and apply a modern treaty and self-government lens to the development of policies, programs, and services.

Topics include
Whole-of-government approach to implementation
Assessment of modern treaty implications
Consultation in the modern treaty context
Economic development provisions
Dispute resolution
NOTE
This course includes the subject matter of K108, but is more in-depth. You do not need to register for both courses.",Classroom
Implementing Deep Retrofits: A Whole Building Approach (M724),"To support Canada�s goal of reducing its greenhouse gas emissions, federal facilities have committed to taking practical steps to reduce energy consumption and carbon emissions from their operations. This course has been adapted from training material for the US Department of Energy�s Federal Energy Management Program and is being delivered through Natural Resources Canada's Greening Government Services. Participants will learn how to plan and implement projects that reduce energy use and greenhouse gas emissions in their buildings, laboratories, other facilities and vehicle fleets.",Online
Energy Efficiency Expert Evaluations (M725),Energy Efficiency Expert Evaluation (E4) is a multidisciplinary evaluation process for identifying and implementing low-cost solutions to improve operational performance and reduce energy costs. This course has been adapted from training material for the US Department of Energy�s Federal Energy Management Program and is being delivered through the Natural Resources Canada's Greening Government Services.  Participants will gain the basic tools and knowledge required to conduct inspections of federal facilities.,Online
Mental Health: Awareness (Z041),"About one in five Canadians experience mental health issues at some point during their working years. According to the Mental Health Commission of Canada, it is estimated that mental illness costs the Canadian economy more than $50 billion per year in terms of healthcare service use, lost workdays and work disruptions. A healthy Canadian economy - and a healthy workplace - relies on healthy minds.

This course provides an introduction to the complex issue of mental health in the workplace, and explains why it is so important. You will learn the difference between mental well-being and mental illness, factors that put people at risk, and the roles of early intervention and promotion of mental well-being at work.

Upon completion of the course you will be able to:

Describe the impact of mental illness in the workplace

Explain the difference between mental illness and stress

List common risk factors of mental illness

Recognize signs of mental illness at work and the importance of early intervention

Describe ways to promote mental well-being in the workplace

Access other sources of information about mental health in the workplace.



Average time to complete this course is approximately 30 minutes.",Online
Mental Health: Health and Wellness Strategies (Z042),"The workplace is one of the key environments that affect our mental well-being and our health. While there is an acknowledgement and growing awareness of the role of the workplace in promoting or hindering mental wellness, employees can also take their own steps towards mental fitness.

This course will empower you to improve your own mental well-being by building a strong resilience to stress - a process referred to as mental fitness. Through learning how to leverage the power of the body's response to stress and by practicing specific lifestyle habits, you can elevate your health and performance while effectively managing high levels of stress.

Upon completion of the course you will be able to:

Recognize your signs, symptoms and sources of stress

Describe the impact that stress has on your health and performance

Define mental fitness and specific ways to improve and maintain it

Elevate your health and performance through lifestyle habits that promote mental well-being.



Average time to complete this course is approximately one hour.",Online
