Title,Description,Type,description_word_count,title_word_count,description_tf_idf,title_tf_idf
Do We Have a Failure to Communicate? (C049),"Communicating effectively can be challenging when the message is difficult. Because these challenges typically involve emotions such as hurt, anger, or confusion, it's not uncommon for people to avoid one another or shut down, preventing what could be a productive exchange at many levels. In this course, you'll examine some common communication challenges and how to successfully navigate them. By showing patience, perseverance, and accountability, you can get communication back on track and reach mutual understanding and agreement.",Online,"{""agreement"":1,""mutual"":1,""back"":1,""get"":1,""patience"":1,""by"":1,""successfully"":1,""how"":1,""and"":4,""understanding"":1,""communication"":2,""perseverance"":1,""common"":1,""examine"":1,""on"":1,""confusion"":1,""them"":1,""exchange"":1,""some"":1,""such"":1,""these"":1,""reach"":1,""the"":1,""because"":1,""difficult"":1,""track"":1,""not"":1,""involve"":1,""communicating"":1,""challenges"":2,""accountability"":1,""avoid"":1,""emotions"":1,""can"":2,""be"":2,""challenging"":1,""you"":2,""hurt"":1,""when"":1,""levels"":1,""or"":2,""anger"":1,""is"":1,""people"":1,""many"":1,""course"":1,""showing"":1,""effectively"":1,""it"":1,""this"":1,""uncommon"":1,""in"":1,""for"":1,""one"":1,""message"":1,""shut"":1,""as"":1,""typically"":1,""to"":2,""another"":1,""ll"":1,""down"":1,""what"":1,""preventing"":1,""a"":1,""s"":1,""could"":1,""productive"":1,""navigate"":1,""at"":1}","{""c049"":1,""communicate"":1,""to"":1,""failure"":1,""have"":1,""we"":1,""a"":1,""do"":1}","{""on"":1.6913,""back"":4.96372,""get"":3.95212,""accountability,"":5.94455,""perseverance,"":7.04316,""successfully"":4.4041,""how"":1.41195,""and"":2.59828,""understanding"":2.79466,""communication"":7.0336,""common"":3.40557,""examine"":4.96372,""mutual"":7.04316,""confusion,"":7.04316,""anger,"":7.04316,""agreement."":5.94455,""you'll"":2.85351,""some"":3.13114,""such"":3.90767,""these"":3.35428,""reach"":5.94455,""the"":0.68879,""because"":5.94455,""track"":5.09725,""not"":3.35428,""involve"":5.43372,""down,"":7.04316,""communicating"":5.2514,""challenges"":7.57013,""avoid"":5.65687,""emotions"":5.2514,""can"":4.24636,""by"":2.29823,""difficult."":7.04316,""be"":4.23181,""patience,"":7.04316,""challenging"":5.09725,""you"":1.89567,""when"":2.83847,""showing"":6.35001,""effectively"":3.25897,""is"":1.47101,""people"":3.28196,""many"":3.86511,""or"":4.87598,""it's"":3.95212,""uncommon"":7.04316,""hurt,"":7.04316,""in"":0.881953,""them."":3.95212,""for"":1.30016,""one"":3.71096,""message"":4.64526,""shut"":7.04316,""levels."":5.94455,""another"":5.43372,""preventing"":5.94455,""what"":2.76649,""a"":1.08215,""could"":5.09725,""productive"":5.94455,""exchange"":7.04316,""navigate"":4.64526,""at"":2.54335,""this"":0.850797,""as"":1.99973,""typically"":5.65687,""to"":1.38106,""course,"":2.64871}","{""(c049)"":7.04316,""communicate?"":7.04316,""to"":1.99973,""failure"":7.04316,""have"":7.04316,""we"":5.43372,""a"":2.37033,""do"":4.47821}"
Editing and Proofreading Business Documents (C050),"Have you ever distributed a document or message only to find later that you forgot to include a key point or correct an embarrassing spelling error? Taking the time to edit and proofread your writing will help you produce more focused, polished, and effective business documents. This course describes how to edit and proofread effectively, covering key areas such as tone, structure, clarity and accuracy, as well as common grammar, punctuation and spelling mistakes.",Online,"{""mistakes"":1,""punctuation"":1,""well"":1,""tone"":1,""such"":1,""embarrassing"":1,""you"":3,""key"":2,""error"":1,""later"":1,""have"":1,""include"":1,""that"":1,""a"":2,""ever"":1,""time"":1,""business"":1,""accuracy"":1,""this"":1,""correct"":1,""only"":1,""document"":1,""find"":1,""forgot"":1,""produce"":1,""common"":1,""structure"":1,""point"":1,""distributed"":1,""or"":2,""an"":1,""will"":1,""as"":3,""to"":4,""taking"":1,""grammar"":1,""focused"":1,""your"":1,""documents"":1,""the"":1,""spelling"":2,""more"":1,""edit"":2,""writing"":1,""and"":5,""help"":1,""polished"":1,""message"":1,""covering"":1,""effective"":1,""course"":1,""describes"":1,""clarity"":1,""how"":1,""effectively"":1,""proofread"":2,""areas"":1}","{""c050"":1,""business"":1,""proofreading"":1,""documents"":1,""and"":1,""editing"":1}","{""punctuation"":7.04316,""grammar,"":7.04316,""well"":3.32959,""tone,"":5.94455,""such"":3.90767,""structure,"":7.04316,""that"":1.71528,""embarrassing"":7.04316,""you"":5.687,""focused,"":7.04316,""later"":7.04316,""have"":2.51056,""include"":2.72567,""a"":2.16431,""ever"":4.96372,""time"":3.60917,""your"":2.03921,""business"":3.15134,""this"":0.850797,""error?"":7.04316,""correct"":7.04316,""accuracy,"":7.04316,""only"":4.15279,""document"":4.74057,""find"":4.15279,""forgot"":7.04316,""produce"":5.2514,""an"":1.68657,""will"":1.48248,""as"":5.9992,""to"":2.76212,""taking"":4.84594,""the"":0.68879,""spelling"":14.0863,""more"":2.91603,""edit"":14.0863,""common"":3.40557,""point"":4.96372,""distributed"":7.04316,""effectively,"":5.2514,""writing"":4.33511,""and"":3.24785,""help"":2.64871,""mistakes."":7.04316,""key"":4.97857,""polished,"":7.04316,""effective"":2.54335,""or"":4.87598,""documents."":7.04316,""course"":1.42276,""describes"":3.57742,""clarity"":6.35001,""how"":1.41195,""message"":4.64526,""covering"":7.04316,""proofread"":14.0863,""areas"":4.74057}","{""(c050)"":7.04316,""business"":3.90767,""proofreading"":7.04316,""documents"":4.47821,""and"":1.61381,""editing"":7.04316}"
Effective Team Communication (C051),"It's vital to maintain open, effective communication within a team. However, it's all too easy to adopt bad habits. Team members may communicate in ways that lead to misunderstandings, cause unnecessary conflict, keep others from having their say, and prevent the team from performing as well as it could. In this course, you'll learn about different verbal barriers to effective team communication and strategies for overcoming them. But speaking is only one part of communication; effective listening is vital, too. To this end, you'll also learn about specific active-listening techniques that can help you be a better listener.",Online,"{""also"":1,""listening"":2,""of"":1,""one"":1,""end"":1,""only"":1,""speaking"":1,""can"":1,""but"":1,""them"":1,""for"":1,""specific"":1,""different"":1,""about"":2,""learn"":2,""communicate"":1,""may"":1,""verbal"":1,""easy"":1,""members"":1,""active"":1,""strategies"":1,""barriers"":1,""bad"":1,""habits"":1,""keep"":1,""techniques"":1,""it"":3,""vital"":2,""this"":2,""maintain"":1,""team"":4,""help"":1,""adopt"":1,""too"":2,""and"":2,""part"":1,""from"":2,""listener"":1,""all"":1,""to"":5,""as"":2,""in"":2,""having"":1,""effective"":3,""communication"":3,""be"":1,""within"":1,""s"":2,""could"":1,""a"":2,""well"":1,""ways"":1,""that"":2,""better"":1,""open"":1,""their"":1,""overcoming"":1,""however"":1,""lead"":1,""course"":1,""misunderstandings"":1,""cause"":1,""unnecessary"":1,""ll"":2,""you"":3,""conflict"":1,""others"":1,""is"":2,""say"":1,""prevent"":1,""the"":1,""performing"":1}","{""c051"":1,""team"":1,""communication"":1,""effective"":1}","{""you"":1.89567,""also"":2.30696,""too."":7.04316,""vital,"":7.04316,""of"":0.798993,""one"":3.71096,""only"":4.15279,""is"":2.94201,""speaking"":5.65687,""can"":2.12318,""but"":3.17196,""them."":3.95212,""for"":1.30016,""specific"":4.04743,""different"":3.57742,""about"":4.87598,""learn"":3.87443,""communicate"":4.04743,""may"":3.64196,""verbal"":6.35001,""easy"":5.94455,""team."":4.96372,""conflict,"":5.2514,""end,"":6.35001,""members"":4.4041,""strategies"":3.05418,""barriers"":5.2514,""bad"":6.35001,""habits."":7.04316,""it's"":7.90423,""say,"":7.04316,""vital"":4.74057,""team"":10.9259,""maintain"":4.4041,""techniques"":3.15134,""it"":1.85577,""this"":1.70159,""help"":2.64871,""adopt"":5.65687,""too"":5.65687,""and"":1.29914,""open,"":7.04316,""overcoming"":5.43372,""lead"":3.95212,""in"":1.76391,""having"":4.74057,""effective"":7.63005,""however,"":5.2514,""others"":4.74057,""communication"":7.0336,""listener."":6.35001,""be"":2.11591,""within"":3.07287,""a"":2.16431,""communication;"":7.04316,""ways"":3.43224,""that"":3.43057,""better"":3.32959,""their"":1.93117,""you'll"":5.70701,""well"":3.32959,""misunderstandings,"":7.04316,""cause"":4.64526,""active-listening"":7.04316,""unnecessary"":7.04316,""listening"":5.2514,""could."":7.04316,""keep"":4.27057,""part"":4.09872,""from"":5.73755,""to"":3.45265,""all"":2.82365,""course,"":2.64871,""as"":3.99947,""prevent"":5.65687,""the"":0.68879,""performing"":7.04316}","{""team"":4.33511,""(c051)"":7.04316,""communication"":4.47821,""effective"":4.20995}"
Electrical Safety (S002),"This is an awareness-level course on how to work safely with electricity. It focuses on specific electrical hazards found in the workplace and methods to minimize or eliminate those hazards. The course content is designed to comply with the intent of the applicable regulatory requirements and best practice standards. The learning objectives of the course are to recall basic rules of electricity as they relate to electrical safety, identify actions to take in an electricity-related emergency, recognize common electrical hazards, and describe methods to reduce or eliminate electrical hazards. This course was developed with subject-matter support provided by the Pinchin Group of Companies, an environmental, health, and safety consulting firm with offices across Canada.",Online,"{""health"":1,""pinchin"":1,""by"":1,""matter"":1,""environmental"":1,""subject"":1,""developed"":1,""was"":1,""reduce"":1,""describe"":1,""companies"":1,""common"":1,""related"":1,""take"":1,""actions"":1,""identify"":1,""safety"":2,""relate"":1,""group"":1,""they"":1,""requirements"":1,""in"":2,""specific"":1,""focuses"":1,""it"":1,""provided"":1,""found"":1,""this"":2,""consulting"":1,""workplace"":1,""with"":4,""safely"":1,""electricity"":3,""on"":2,""recognize"":1,""regulatory"":1,""an"":3,""firm"":1,""work"":1,""content"":1,""level"":1,""is"":2,""course"":4,""the"":7,""methods"":2,""how"":1,""eliminate"":2,""across"":1,""and"":4,""or"":2,""applicable"":1,""electrical"":4,""those"":1,""awareness"":1,""minimize"":1,""designed"":1,""comply"":1,""emergency"":1,""intent"":1,""of"":4,""best"":1,""to"":7,""as"":1,""practice"":1,""support"":1,""learning"":1,""canada"":1,""objectives"":1,""offices"":1,""are"":1,""standards"":1,""basic"":1,""hazards"":4,""recall"":1,""rules"":1}","{""s002"":1,""safety"":1,""electrical"":1}","{""safety"":4.47821,""health,"":6.35001,""companies,"":5.2514,""pinchin"":5.2514,""by"":2.29823,""subject-matter"":5.43372,""developed"":4.09872,""was"":3.74732,""reduce"":5.2514,""describe"":4.74057,""common"":3.40557,""emergency,"":7.04316,""electricity-related"":7.04316,""hazards,"":5.94455,""take"":3.71096,""actions"":3.86511,""relate"":5.65687,""group"":4.47821,""they"":3.11133,""requirements"":3.82428,""across"":3.57742,""and"":2.59828,""specific"":4.04743,""focuses"":4.47821,""it"":1.85577,""provided"":5.09725,""found"":5.65687,""this"":1.70159,""consulting"":5.2514,""workplace"":3.21452,""with"":5.54867,""safety,"":6.35001,""in"":1.76391,""firm"":5.09725,""work"":2.55452,""environmental,"":5.65687,""an"":5.05972,""is"":2.94201,""course"":5.69104,""canada."":3.74732,""electricity."":7.04316,""the"":4.82153,""methods"":7.90423,""on"":3.3826,""recognize"":3.71096,""regulatory"":4.74057,""electricity"":7.04316,""how"":1.41195,""eliminate"":11.3137,""as"":1.99973,""to"":4.83371,""content"":4.33511,""safely"":7.04316,""or"":4.87598,""applicable"":5.2514,""electrical"":28.1726,""those"":3.95212,""hazards."":12.7,""minimize"":4.84594,""designed"":3.28196,""comply"":5.2514,""intent"":5.43372,""of"":3.19597,""best"":3.01781,""awareness-level"":7.04316,""practice"":3.99864,""support"":2.83847,""learning"":3.28196,""identify"":3.45964,""standards."":5.94455,""objectives"":4.15279,""offices"":5.2514,""are"":1.83915,""basic"":3.43224,""hazards"":5.94455,""recall"":6.35001,""rules"":4.74057}","{""safety"":5.09725,""(s002)"":7.04316,""electrical"":7.04316}"
Emergency and Disaster Preparedness (S003),"This course was designed and developed to provide instruction on emergency response, safety, reporting, and evacuation of company facilities and work areas in the event of a natural disaster, fire, bomb threat, or other emergency. The procedures contained in this training should be followed unless otherwise directed by your employer, police, or fire department officials. The content in this course is designed to comply with the intent of the applicable regulatory requirements and best practice standards. The learning objectives of the course are to discuss the purpose and scope of an emergency response plan, describe the purpose and scope of an emergency evacuation plan, recall the actions to take in specific emergency situations, describe the purpose and scope of a workplace violence prevention plan, and identify specific actions to take in the event of a bomb threat. This course was developed with subject-matter support provided by the Pinchin Group of Companies, an environmental health and safety consulting firm with offices across Canada.",Online,"{""companies"":1,""group"":1,""matter"":1,""situations"":1,""specific"":2,""take"":2,""actions"":2,""recall"":1,""describe"":2,""an"":3,""scope"":3,""discuss"":1,""offices"":1,""are"":1,""canada"":1,""objectives"":1,""support"":1,""learning"":1,""standards"":1,""practice"":1,""regulatory"":1,""consulting"":1,""workplace"":1,""with"":3,""comply"":1,""plan"":3,""is"":1,""content"":1,""violence"":1,""the"":13,""applicable"":1,""company"":1,""intent"":1,""emergency"":5,""unless"":1,""of"":9,""prevention"":1,""requirements"":1,""facilities"":1,""identify"":1,""department"":1,""by"":2,""environmental"":1,""subject"":1,""areas"":1,""response"":2,""was"":2,""health"":1,""evacuation"":2,""to"":5,""provided"":1,""this"":4,""firm"":1,""work"":1,""training"":1,""safety"":2,""provide"":1,""directed"":1,""officials"":1,""across"":1,""and"":9,""developed"":2,""other"":1,""instruction"":1,""event"":2,""purpose"":3,""reporting"":1,""your"":1,""on"":1,""best"":1,""threat"":2,""police"":1,""natural"":1,""a"":3,""course"":4,""procedures"":1,""designed"":2,""disaster"":1,""in"":5,""fire"":2,""bomb"":2,""or"":2,""contained"":1,""should"":1,""be"":1,""followed"":1,""pinchin"":1,""otherwise"":1,""employer"":1}","{""s003"":1,""preparedness"":1,""disaster"":1,""and"":1,""emergency"":1}","{""group"":4.47821,""subject-matter"":5.43372,""threat."":6.35001,""specific"":8.09486,""take"":7.42191,""actions"":7.73021,""recall"":6.35001,""describe"":9.48115,""plan,"":14.8912,""response"":4.74057,""an"":5.05972,""scope"":15.7542,""purpose"":15.7542,""discuss"":4.33511,""offices"":5.2514,""are"":1.83915,""support"":2.83847,""learning"":3.28196,""practice"":3.99864,""regulatory"":4.74057,""consulting"":5.2514,""workplace"":3.21452,""with"":4.1615,""comply"":5.2514,""is"":1.47101,""content"":4.33511,""identify"":3.45964,""standards."":5.94455,""department"":4.96372,""environmental"":5.94455,""areas"":4.74057,""applicable"":5.2514,""company"":5.65687,""intent"":5.43372,""emergency"":22.6275,""unless"":6.35001,""prevention"":5.65687,""requirements"":3.82428,""facilities"":6.35001,""violence"":5.43372,""the"":8.95427,""of"":7.19094,""response,"":5.94455,""by"":4.59646,""reporting,"":5.94455,""provided"":5.09725,""this"":3.40319,""firm"":5.09725,""work"":2.55452,""objectives"":4.15279,""officials."":7.04316,""fire,"":6.35001,""training"":3.86511,""was"":7.49465,""health"":3.82428,""evacuation"":14.0863,""to"":3.45265,""safety"":4.47821,""provide"":3.40557,""directed"":6.35001,""disaster,"":7.04316,""across"":3.57742,""and"":5.84612,""developed"":8.19744,""other"":3.64196,""instruction"":6.35001,""event"":8.80821,""your"":2.03921,""on"":1.6913,""best"":3.01781,""natural"":5.94455,""a"":3.24646,""emergency."":7.04316,""course"":5.69104,""procedures"":4.74057,""bomb"":14.0863,""or"":4.87598,""canada."":3.74732,""contained"":7.04316,""situations,"":5.2514,""designed"":6.56392,""employer,"":7.04316,""companies,"":5.2514,""should"":4.09872,""be"":2.11591,""followed"":5.65687,""pinchin"":5.2514,""threat,"":7.04316,""otherwise"":5.94455,""police,"":7.04316,""in"":4.40976,""safety,"":6.35001,""fire"":5.94455}","{""(s003)"":7.04316,""preparedness"":7.04316,""disaster"":7.04316,""and"":1.61381,""emergency"":6.35001}"
Encouraging Team Communication and Collaboration (C052),"Successful teams, whether they are on-site or virtual, are characterized by good communication and collaboration. In this course, you'll learn techniques for encouraging effective communication and overcoming communication problems. You'll also learn strategies for encouraging teamwork. Finally, you'll learn about common tools and technologies for virtual team communication and key considerations for establishing virtual communication guidelines.",Online,"{""considerations"":1,""team"":1,""tools"":1,""about"":1,""problems"":1,""encouraging"":2,""effective"":1,""for"":4,""key"":1,""technologies"":1,""also"":1,""in"":1,""are"":2,""ll"":3,""common"":1,""strategies"":1,""site"":1,""they"":1,""characterized"":1,""communication"":5,""you"":3,""techniques"":1,""overcoming"":1,""whether"":1,""on"":1,""guidelines"":1,""teamwork"":1,""course"":1,""teams"":1,""establishing"":1,""and"":4,""successful"":1,""by"":1,""or"":1,""good"":1,""finally"":1,""virtual"":3,""collaboration"":1,""this"":1,""learn"":3}","{""collaboration"":1,""and"":1,""c052"":1,""communication"":1,""team"":1,""encouraging"":1}","{""guidelines."":5.65687,""considerations"":5.65687,""team"":3.64196,""tools"":3.28196,""about"":2.43799,""finally,"":4.20995,""teamwork."":7.04316,""by"":2.29823,""virtual,"":7.04316,""good"":3.90767,""or"":2.43799,""overcoming"":5.43372,""whether"":4.64526,""are"":3.67831,""common"":3.40557,""strategies"":3.05418,""they"":3.11133,""characterized"":6.35001,""communication"":17.584,""on-site"":6.35001,""techniques"":3.15134,""successful"":4.15279,""establishing"":5.65687,""and"":2.59828,""encouraging"":10.5028,""virtual"":11.3137,""collaboration."":6.35001,""key"":2.48928,""technologies"":5.09725,""also"":2.30696,""problems."":7.04316,""teams,"":5.94455,""in"":0.881953,""effective"":2.54335,""for"":5.20063,""learn"":5.81164,""this"":0.850797,""course,"":2.64871,""you'll"":8.56052}","{""(c052)"":7.04316,""collaboration"":5.65687,""and"":1.61381,""communication"":4.47821,""team"":4.33511,""encouraging"":5.94455}"
Ensuring Onboarding Success (H302),"Managers are key to ensuring the success of employee onboarding programs. This course provides managers with insight into their unique role and outlines the benefits of properly onboarding new hires. It also covers the key elements of an effective onboarding program and explains how onboarding is different from traditional orientation. A successful onboarding program can increase employee acclimation and productivity as well as greatly reduce employee turnover, as new employees feel engaged and motivated in their new roles.",Online,"{""roles"":1,""in"":1,""feel"":1,""turnover"":1,""well"":1,""greatly"":1,""and"":4,""their"":2,""into"":1,""programs"":1,""are"":1,""outlines"":1,""motivated"":1,""with"":1,""covers"":1,""it"":1,""course"":1,""reduce"":1,""managers"":2,""can"":1,""acclimation"":1,""provides"":1,""insight"":1,""the"":3,""traditional"":1,""key"":2,""as"":3,""ensuring"":1,""to"":1,""success"":1,""this"":1,""program"":2,""onboarding"":5,""of"":3,""engaged"":1,""employee"":3,""from"":1,""properly"":1,""elements"":1,""is"":1,""productivity"":1,""benefits"":1,""new"":3,""unique"":1,""also"":1,""hires"":1,""an"":1,""effective"":1,""role"":1,""explains"":1,""orientation"":1,""how"":1,""increase"":1,""different"":1,""employees"":1,""a"":1,""successful"":1}","{""h302"":1,""success"":1,""onboarding"":1,""ensuring"":1}","{""in"":0.881953,""feel"":5.43372,""turnover,"":6.35001,""well"":3.32959,""greatly"":6.35001,""and"":2.59828,""their"":3.86234,""into"":3.40557,""programs."":4.84594,""outlines"":4.33511,""motivated"":7.04316,""with"":1.38717,""covers"":3.03583,""it"":1.85577,""course"":1.42276,""reduce"":5.2514,""managers"":6.26227,""can"":2.12318,""acclimation"":7.04316,""provides"":2.5323,""insight"":4.96372,""are"":1.83915,""the"":2.06637,""traditional"":6.35001,""key"":4.97857,""roles."":6.35001,""unique"":5.43372,""also"":2.30696,""as"":5.9992,""ensuring"":4.74057,""to"":0.690531,""success"":4.27057,""this"":0.850797,""program"":7.28393,""onboarding"":31.7501,""of"":2.39698,""engaged"":5.2514,""employee"":11.1329,""from"":2.86877,""properly"":4.4041,""elements"":3.90767,""is"":1.47101,""productivity"":5.94455,""benefits"":3.82428,""new"":8.89687,""an"":1.68657,""effective"":2.54335,""role"":3.21452,""hires."":7.04316,""explains"":3.90767,""how"":1.41195,""increase"":4.20995,""different"":3.57742,""orientation."":7.04316,""employees"":2.96562,""a"":1.08215,""successful"":4.15279}","{""(h302)"":7.04316,""success"":6.35001,""onboarding"":7.04316,""ensuring"":6.35001}"
Ensuring Successful Presentation Delivery (C053),"Presentation excellence can be achieved when the standard of your delivery matches the quality of your content. Once you have diligently prepared the content of your presentation, you need to make sure that your delivery is engaging, enthusiastic, composed and confident. \nIn this course, you will learn how to set up the right environment for your presentation. You'll also learn techniques for managing stage fright and for using your voice and body language effectively to deliver your message. Finally, you'll learn how to deal with audience questions and Q&A sessions�in a way that favourably impacts your credibility.\n",Online,"{""impacts"":1,""favourably"":1,""a"":2,""q"":1,""sessions�in"":1,""questions"":1,""audience"":1,""with"":1,""finally"":1,""message"":1,""deliver"":1,""way"":1,""voice"":1,""prepared"":1,""credibility"":1,""diligently"":1,""have"":1,""effectively"":1,""techniques"":1,""content"":2,""presentation"":3,""matches"":1,""to"":4,""need"":1,""quality"":1,""delivery"":2,""and"":4,""you"":5,""when"":1,""engaging"":1,""excellence"":1,""can"":1,""right"":1,""be"":1,""ll"":2,""achieved"":1,""sure"":1,""your"":8,""make"":1,""language"":1,""body"":1,""using"":1,""enthusiastic"":1,""deal"":1,""the"":4,""standard"":1,""once"":1,""of"":3,""confident"":1,""set"":1,""up"":1,""that"":2,""is"":1,""course"":1,""in"":1,""will"":1,""also"":1,""this"":1,""learn"":3,""stage"":1,""composed"":1,""how"":2,""fright"":1,""for"":3,""environment"":1,""managing"":1}","{""c053"":1,""delivery"":1,""presentation"":1,""successful"":1,""ensuring"":1}","{""impacts"":4.74057,""favourably"":7.04316,""a"":1.08215,""sessions�in"":7.04316,""questions"":4.09872,""audience"":4.47821,""with"":1.38717,""finally,"":4.20995,""message."":7.04316,""deliver"":4.47821,""way"":3.78506,""voice"":6.35001,""language"":4.27057,""body"":5.43372,""using"":3.25897,""effectively"":3.25897,""techniques"":3.15134,""content"":4.33511,""matches"":7.04316,""prepared"":5.65687,""enthusiastic,"":7.04316,""diligently"":7.04316,""content."":5.43372,""have"":2.51056,""need"":3.15134,""q&a"":7.04316,""quality"":4.55825,""delivery"":7.81533,""and"":2.59828,""you"":5.687,""when"":2.83847,""excellence"":5.65687,""can"":2.12318,""right"":3.99864,""be"":2.11591,""achieved"":6.35001,""presentation,"":5.43372,""sure"":6.35001,""deal"":4.33511,""the"":2.75516,""standard"":5.94455,""confident."":7.04316,""once"":4.96372,""of"":2.39698,""set"":4.74057,""up"":4.84594,""your"":16.3137,""make"":3.21452,""that"":3.43057,""presentation"":5.43372,""you'll"":5.70701,""is"":1.47101,""engaging,"":7.04316,""in"":0.881953,""will"":1.48248,""also"":2.30696,""this"":0.850797,""credibility."":7.04316,""to"":2.76212,""course,"":2.64871,""learn"":5.81164,""stage"":5.43372,""composed"":7.04316,""how"":2.8239,""managing"":3.2365,""environment"":3.71096,""fright"":7.04316,""for"":3.90047,""presentation."":7.04316}","{""(c053)"":7.04316,""delivery"":4.74057,""presentation"":5.65687,""successful"":5.94455,""ensuring"":6.35001}"
"Establishing Team Goals and Responsibilities, and Using Feedback Effectively (G015)","Every member of a team has particular strengths. To get a team to perform at its best, these strengths have to be recognized, reflected in the roles and responsibilities assigned to team members, and directed toward achieving suitable goals. In this course, you'll learn how to build a team�including how to set effective team goals, identify roles and assess team members' competencies�and assign roles based on these competencies. You'll also learn how to give and receive feedback effectively, so that it strengthens your role and the performance of your team.",Online,"{""strengthens"":1,""that"":1,""so"":1,""it"":1,""effectively"":1,""receive"":1,""give"":1,""also"":1,""in"":2,""the"":2,""these"":2,""recognized"":1,""its"":1,""team"":6,""to"":7,""feedback"":1,""have"":1,""suitable"":1,""best"":1,""at"":1,""perform"":1,""roles"":3,""be"":1,""ll"":2,""member"":1,""a"":3,""of"":2,""set"":1,""has"":1,""reflected"":1,""learn"":2,""strengths"":2,""identify"":1,""performance"":1,""get"":1,""responsibilities"":1,""assigned"":1,""role"":1,""members"":2,""every"":1,""directed"":1,""toward"":1,""you"":2,""achieving"":1,""your"":2,""on"":1,""goals"":2,""based"":1,""this"":1,""course"":1,""how"":3,""build"":1,""and"":5,""team�including"":1,""competencies"":1,""assign"":1,""particular"":1,""effective"":1,""assess"":1,""competencies�and"":1}","{""effectively"":1,""using"":1,""responsibilities"":1,""and"":2,""goals"":1,""g015"":1,""feedback"":1,""team"":1,""establishing"":1}","{""role"":3.21452,""strengthens"":7.04316,""it"":1.85577,""that"":1.71528,""so"":3.86511,""receive"":5.65687,""give"":4.64526,""also"":2.30696,""your"":4.07843,""on"":1.6913,""assign"":7.04316,""in"":1.76391,""feedback"":4.96372,""have"":2.51056,""suitable"":7.04316,""recognized,"":7.04316,""strengths"":5.94455,""identify"":3.45964,""be"":2.11591,""effectively,"":5.2514,""roles"":10.1388,""at"":2.54335,""best,"":7.04316,""members'"":7.04316,""its"":3.15134,""team"":18.2098,""goals,"":4.74057,""perform"":4.55825,""the"":1.37758,""these"":6.70856,""strengths."":6.35001,""assess"":4.15279,""member"":5.94455,""a"":3.24646,""of"":1.59799,""set"":4.74057,""has"":3.21452,""reflected"":7.04316,""learn"":3.87443,""performance"":3.54665,""get"":3.95212,""responsibilities"":3.09192,""goals."":4.27057,""competencies."":5.94455,""every"":4.27057,""directed"":6.35001,""toward"":4.64526,""achieving"":4.96372,""based"":3.95212,""this"":0.850797,""to"":4.83371,""course,"":2.64871,""assigned"":5.94455,""you'll"":5.70701,""team."":4.96372,""how"":4.23584,""build"":3.67586,""and"":3.24785,""team�including"":7.04316,""particular"":5.43372,""effective"":2.54335,""members,"":5.43372,""competencies�and"":7.04316}","{""effectively"":5.65687,""using"":4.74057,""and"":3.22763,""goals"":5.94455,""(g015)"":7.04316,""feedback"":5.2514,""responsibilities,"":7.04316,""team"":4.33511,""establishing"":7.04316}"
Facing and Resolving Conflict in the Workplace (W022),"A workplace conflict won't go away on its own; you need a plan to address it. In this course, you'll learn about sources and signs of conflict, a process for resolving it, and ways to get the process back on track if difficulties arise.",Online,"{""track"":1,""back"":1,""resolving"":1,""for"":1,""of"":1,""arise"":1,""signs"":1,""difficulties"":1,""sources"":1,""if"":1,""own"":1,""ll"":1,""course"":1,""go"":1,""get"":1,""and"":2,""away"":1,""the"":1,""t"":1,""learn"":1,""ways"":1,""process"":2,""on"":2,""won"":1,""you"":2,""a"":3,""plan"":1,""conflict"":2,""workplace"":1,""need"":1,""its"":1,""to"":2,""address"":1,""this"":1,""it"":2,""in"":1,""about"":1}","{""the"":1,""workplace"":1,""in"":1,""conflict"":1,""resolving"":1,""and"":1,""w022"":1,""facing"":1}","{""if"":3.71096,""track"":5.09725,""back"":4.96372,""the"":0.68879,""it,"":5.09725,""resolving"":5.65687,""for"":1.30016,""of"":0.798993,""get"":3.95212,""and"":1.29914,""away"":6.35001,""ways"":3.43224,""process"":5.96543,""on"":3.3826,""go"":4.47821,""own;"":7.04316,""you'll"":2.85351,""a"":3.24646,""plan"":3.45964,""arise."":5.94455,""conflict"":5.2514,""workplace"":3.21452,""you"":1.89567,""signs"":4.96372,""won't"":5.94455,""conflict,"":5.2514,""its"":3.15134,""to"":1.38106,""difficulties"":6.35001,""sources"":5.2514,""address"":4.27057,""need"":3.15134,""it."":4.96372,""in"":0.881953,""learn"":1.93721,""this"":0.850797,""course,"":2.64871,""about"":2.43799}","{""(w022)"":7.04316,""the"":1.75489,""workplace"":3.54665,""in"":2.23914,""conflict"":5.43372,""resolving"":6.35001,""and"":1.61381,""facing"":5.94455}"
